Electrical Conductivity (dS/m),Moisture (%),pH,Temperature (°C),Salinity (ppm),Humidity (%),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Soil Type,Crop Type,Fertilizer
0.63,5.6,5.131779302,26.85911286,337,41.81420849,11,41,19,Loamy,mothbeans,DAP
0.94,29.8,6.242528278,26.59386409,481,81.40740301,101,75,50,Clayey,banana,Potash
1.18,20.7,6.605733068,27.62749466,766,86.49366929,22,37,20,Sandy,mungbean,DAP
1.37,28.3,6.586244581,25.33797709,851,68.49835977,79,51,16,Clayey,maize,DAP
0.76,12,6.190757459,26.33544853,235,76.8532006,114,94,53,Sandy,banana,DAP
0.46,15.4,4.672437054,36.30049702,506,56.03021253,0,70,21,Loamy,pigeonpeas,Potash
1.6,5.9,6.281913858,24.41212325,607,80.80343786,129,47,20,Sandy,cotton,Potash
0.86,33.8,6.271478838,23.83067496,461,84.81360127,82,40,40,Sandy,rice,Ammonium Sulphate
1.54,25,6.979102243,40.10207731,480,94.35110201,42,59,55,Sandy,papaya,Ammonium Sulphate
0.56,33,6.904241707,25.3310446,980,84.30533791,96,18,50,Loamy,watermelon,Ammonium Sulphate
1.31,13,7.699200949,30.39321309,675,60.16299493,9,59,25,Sandy,mothbeans,Ammonium Sulphate
1.42,23.3,5.896343436,32.44577836,734,83.88504863,22,123,205,Sandy,grapes,NPK
0.32,25.4,5.665785202,28.43572863,353,95.8840407,22,8,33,Loamy,coconut,NPK
0.97,14.5,6.008386283,26.44600063,576,98.29937782,27,8,30,Clayey,coconut,Ammonium Sulphate
0.51,30.4,6.652143699,25.66891439,213,81.38103349,101,58,18,Clayey,cotton,Ammonium Sulphate
0.35,33.4,6.604993475,22.68319059,119,83.46358271,88,46,42,Clayey,rice,Urea
2.48,31.5,6.578714843,30.11873003,627,60.11680815,20,68,17,Loamy,blackgram,NPK
0.94,27.2,7.150681303,20.18649426,244,19.63719995,44,74,85,Loamy,chickpea,Urea
2.06,13.3,5.758506323,25.42977518,307,82.94682591,72,45,35,Clayey,rice,Urea
0.79,13.4,7.028746406,31.08368929,630,90.14362642,6,9,12,Sandy,orange,DAP
1.77,33.9,5.730617109,19.84939404,475,61.24500053,95,38,22,Clayey,maize,Potash
1.95,5.3,6.543191814,17.24944623,603,91.13772765,14,22,9,Loamy,orange,NPK
1.57,26.5,6.750145572,29.09910406,265,94.22237826,101,25,52,Sandy,muskmelon,Ammonium Sulphate
1.28,26.2,6.644205485,20.37999665,649,63.73849998,79,59,17,Sandy,maize,Ammonium Sulphate
1.15,23.7,5.955742971,28.03380598,280,95.01630593,22,11,29,Loamy,coconut,Potash
1,34.7,5.877347515,20.27514686,960,23.2353604,18,79,20,Sandy,kidneybeans,NPK
2.34,14.4,6.602888249,33.39438752,716,62.93692886,55,78,21,Clayey,blackgram,Ammonium Sulphate
2.11,15.2,6.720744449,43.03714283,711,94.6428898,63,58,50,Loamy,papaya,Ammonium Sulphate
2.42,7.4,5.683548308,22.8352024,701,18.97267518,37,65,16,Loamy,kidneybeans,DAP
0.49,18.3,6.086922359,27.41711238,911,56.63636248,99,15,27,Loamy,coffee,Urea
1.88,12.8,6.142803397,21.98141856,543,91.12719303,3,141,197,Loamy,apple,Ammonium Sulphate
2.36,15.3,5.925391795,21.35499456,431,62.60136323,39,78,15,Sandy,lentil,NPK
0.62,30,6.54450214,29.21780035,602,87.93724219,13,47,20,Loamy,mungbean,Potash
0.35,33.1,6.559817161,26.00373964,178,62.1445102,113,33,34,Loamy,coffee,DAP
1.9,10.6,5.926676985,16.43340342,684,24.24045875,40,64,16,Sandy,kidneybeans,NPK
1.52,16.2,5.618844277,20.120043,787,22.89845607,24,67,22,Loamy,kidneybeans,DAP
2.14,32.9,6.276004336,31.96987867,495,57.17377029,9,60,23,Sandy,mothbeans,Urea
0.52,6.9,6.494251024,28.47090661,707,94.79453182,84,21,55,Sandy,muskmelon,Ammonium Sulphate
2.03,7.8,6.691541233,27.15998538,956,51.59100753,103,27,31,Loamy,coffee,NPK
0.66,9.9,8.140825437,20.28155898,202,16.39535215,39,71,84,Clayey,chickpea,Potash
0.58,22.9,5.333322606,23.35905428,501,83.59512273,65,37,40,Loamy,rice,Urea
0.58,9.5,5.93202852,12.087022,323,83.59398734,24,140,205,Clayey,grapes,Urea
2.07,34,7.994679507,23.9643129,617,76.59175937,134,52,18,Sandy,cotton,DAP
1.73,18.4,6.657964753,23.55882094,733,71.59351368,80,43,16,Clayey,maize,Urea
1.4,20,6.334837865,23.76554749,335,87.98329901,81,36,38,Loamy,jute,NPK
1.03,12.4,5.558807063,26.58580443,526,90.98617591,31,30,29,Loamy,coconut,DAP
2.22,19.1,6.25933595,26.1793464,215,86.52258079,98,8,51,Clayey,watermelon,Urea
1.1,24.9,6.377568542,29.66461594,262,84.28187572,9,48,20,Loamy,mungbean,Potash
2.08,27.5,6.931924963,29.89286629,325,66.35375127,35,71,17,Clayey,pigeonpeas,NPK
1.21,27.6,6.211748957,24.54356968,329,84.60808277,100,10,53,Sandy,watermelon,Potash
1.07,22.3,5.962001484,21.91041045,281,65.21662467,12,80,19,Clayey,lentil,Potash
1.26,32.1,6.392791654,23.52652084,348,65.44340921,99,16,30,Clayey,coffee,DAP
0.89,29.5,5.662140095,16.76201707,417,82.00335557,7,126,203,Clayey,grapes,Ammonium Sulphate
1.92,27.7,5.931538447,18.73932187,309,81.12109244,19,120,195,Clayey,grapes,DAP
1.36,6.7,4.371745575,27.32220619,755,51.27868781,22,59,23,Sandy,mothbeans,NPK
0.73,5.2,6.578714843,30.11873003,491,60.11680815,20,68,17,Sandy,blackgram,NPK
2.27,11.4,6.713410626,27.23924995,956,86.404241,31,37,21,Sandy,mungbean,DAP
1.08,24.9,5.894027065,29.03065024,195,90.79093862,17,30,27,Clayey,coconut,Ammonium Sulphate
1.45,17.3,6.101198974,18.41164435,993,91.11927248,9,16,39,Sandy,pomegranate,DAP
2.28,17.1,6.745104394,22.426733,957,81.53480799,107,43,18,Loamy,cotton,NPK
1.64,31.5,7.455991072,23.98289638,855,91.5473145,21,17,15,Sandy,orange,Ammonium Sulphate
0.47,31.9,7.165121109,29.89232778,185,89.71503316,9,57,24,Clayey,mungbean,NPK
2.36,32.3,5.694243847,27.96799119,514,79.28625709,93,85,49,Loamy,banana,Ammonium Sulphate
1.64,14.4,7.163043872,32.79766751,493,68.77994074,55,60,15,Clayey,blackgram,Ammonium Sulphate
0.97,25.7,5.612122797,26.18552389,795,96.96637916,14,23,25,Loamy,coconut,DAP
0.52,13.1,6.827354668,24.88738107,732,75.62137159,133,47,23,Clayey,cotton,DAP
2.03,10.7,6.036079266,27.71822477,943,76.57853189,93,81,50,Clayey,banana,DAP
1.63,10.5,6.691268104,23.80834611,600,83.91902605,134,56,18,Loamy,cotton,Ammonium Sulphate
1.43,15.3,4.791146778,31.09154239,703,47.02058367,14,18,35,Sandy,mango,Ammonium Sulphate
2.26,17.9,5.01450727,20.26707606,681,81.63895217,98,53,38,Loamy,rice,NPK
2.01,29.9,6.293486295,29.17220859,232,92.21405224,117,24,53,Loamy,muskmelon,Potash
0.55,8.6,6.995843776,24.2547451,890,55.64709899,76,39,24,Loamy,maize,DAP
0.92,27,7.393210848,26.03026959,748,69.55863145,17,74,17,Loamy,lentil,NPK
0.77,20.9,6.200671976,23.43821725,413,78.63388824,106,46,20,Loamy,cotton,NPK
1.91,13.6,8.140825437,20.28155898,798,16.39535215,39,71,84,Clayey,chickpea,Urea
0.28,19.8,7.299360767,28.67408774,320,63.18832976,3,69,23,Clayey,lentil,DAP
1.51,14,7.8546243,19.14381903,537,90.71037456,37,24,13,Sandy,orange,NPK
1.95,22.9,6.010391864,22.3551049,145,93.52211892,9,10,10,Sandy,orange,Urea
2.22,18,7.871063004,21.35093384,889,90.9492967,40,17,15,Loamy,orange,DAP
0.99,9.9,6.953246506,33.33024826,291,45.61143594,39,37,25,Sandy,mango,Ammonium Sulphate
2.09,8.5,7.991902443,28.77833449,619,44.2252605,23,37,24,Sandy,mothbeans,Urea
0.45,21.4,5.814434775,21.1316077,478,91.95769858,33,143,204,Loamy,apple,Ammonium Sulphate
2.15,32.1,6.839443833,29.20300896,887,93.96834049,33,47,46,Clayey,papaya,Potash
0.49,15.3,7.596802025,27.81326852,790,62.50460464,50,58,23,Clayey,blackgram,Potash
1.11,27,6.261937875,26.13708256,433,66.7729209,9,56,17,Sandy,lentil,Potash
2.03,24.8,6.738993954,24.77464458,138,85.63608688,16,10,41,Clayey,pomegranate,Potash
0.54,32.9,6.305740522,29.8690834,392,91.14723422,28,10,30,Clayey,coconut,NPK
0.73,29.6,6.078724107,18.13027797,789,62.45851612,16,65,16,Sandy,lentil,Potash
1.86,22,5.877347515,20.27514686,261,23.2353604,18,79,20,Loamy,kidneybeans,NPK
1.86,24.7,6.377427122,25.81692236,430,82.043255,92,21,48,Sandy,watermelon,NPK
1.67,32,6.472523287,24.84016732,985,68.3584573,90,49,21,Sandy,maize,DAP
1.8,17,5.734317007,15.99050693,203,81.23966573,11,132,197,Sandy,grapes,NPK
1.45,14.8,6.883308033,27.11030369,260,83.64274107,19,35,24,Loamy,mungbean,NPK
0.78,5.3,5.952384957,26.85851927,898,48.8246387,24,45,19,Loamy,mothbeans,Potash
1,29.8,5.623490043,31.80130272,734,45.03186173,40,70,20,Loamy,pigeonpeas,NPK
0.62,29,7.140437859,28.36319404,153,84.8593608,36,43,21,Loamy,mungbean,Ammonium Sulphate
2.29,8.1,6.162034371,22.19109412,133,90.02575116,26,121,201,Sandy,apple,Potash
1.54,22.3,5.850439831,21.869274,341,61.91044947,84,44,21,Clayey,maize,Urea
1.12,18.9,6.559236744,24.85903405,989,94.39000473,9,11,8,Sandy,orange,Potash
1.26,8.6,6.491506245,23.18866654,212,86.20899734,71,56,37,Loamy,jute,NPK
2.38,34.4,6.658605362,23.89271875,417,61.78779413,2,75,22,Clayey,lentil,Ammonium Sulphate
0.55,11.4,7.979090365,24.71252544,122,77.7293114,116,56,17,Sandy,cotton,Potash
1.55,7,6.987332927,23.61475336,657,86.14290267,93,43,38,Clayey,jute,Ammonium Sulphate
1.36,22.8,6.747975732,40.76998685,923,92.09278584,50,59,47,Loamy,papaya,Urea
1.61,27.2,7.714153038,17.81564548,746,17.60756635,35,63,76,Clayey,chickpea,Urea
0.24,6,6.167855382,28.31886863,217,60.19461399,31,58,15,Clayey,lentil,DAP
2.21,24.8,6.604993475,22.68319059,800,83.46358271,88,46,42,Loamy,rice,DAP
2.34,21,5.677719902,26.47522633,742,78.51833782,97,74,45,Clayey,banana,Potash
1.5,8.1,6.498052108,23.04920461,311,75.53835214,123,50,16,Sandy,cotton,DAP
1.8,10.2,8.868741443,18.65054116,517,17.80852431,38,60,76,Clayey,chickpea,Ammonium Sulphate
2.32,22,5.730557448,22.31253665,212,90.03577124,10,125,196,Sandy,apple,DAP
1.83,13.9,6.010095853,29.66727337,143,83.51014178,109,91,53,Clayey,banana,Ammonium Sulphate
0.55,33.1,7.072655622,26.54348085,227,84.67353597,78,35,44,Clayey,rice,DAP
1.53,29.6,7.581442888,28.81460716,975,65.33538112,50,55,16,Loamy,blackgram,DAP
1.6,34.5,5.005306977,24.88921174,257,81.97927117,73,35,38,Loamy,rice,DAP
1.18,12.8,6.472774648,28.89409382,884,54.80750249,2,24,34,Sandy,mango,NPK
1.89,34.1,5.608165195,24.84906168,926,22.89464642,3,77,25,Loamy,kidneybeans,NPK
2.35,17.9,7.580527339,31.52104732,493,66.55723677,21,72,17,Loamy,blackgram,DAP
2.33,15.4,4.681576043,19.3479443,966,55.96805489,24,63,19,Loamy,pigeonpeas,Ammonium Sulphate
1.24,6.5,6.685346424,24.51588066,951,83.5352163,89,54,38,Loamy,rice,Potash
0.46,6.6,7.493191968,27.22783677,611,52.95261751,104,20,26,Loamy,coffee,Urea
2.47,25.8,6.655918078,20.5591255,144,60.54880693,7,77,18,Sandy,pigeonpeas,NPK
2.13,18.7,7.401121811,10.2708877,207,90.19147747,37,18,12,Sandy,orange,DAP
0.49,11.8,7.239455147,20.95628486,318,63.68128841,14,69,19,Loamy,lentil,Urea
2.32,23.4,7.425041316,25.32023717,542,81.79475917,131,60,17,Loamy,cotton,NPK
2.2,12.6,6.658769991,23.17403323,929,87.88255345,100,58,41,Sandy,jute,Potash
1.39,22.3,7.32710972,27.99627907,414,68.6428593,10,56,18,Clayey,lentil,Ammonium Sulphate
1.56,15.8,6.176618831,24.29496635,276,77.62976013,76,54,45,Sandy,jute,DAP
1.12,29.7,6.043304899,22.30157427,327,80.64416466,84,51,35,Clayey,rice,Potash
0.33,29.6,7.238566893,22.78249615,802,77.51235009,108,36,19,Loamy,cotton,NPK
0.97,19.3,7.288211994,24.59245684,771,56.46829641,93,26,27,Loamy,coffee,DAP
2.05,15.5,5.94239222,23.43974653,366,63.22011726,34,65,19,Sandy,lentil,Urea
0.21,15.9,6.956508826,26.27520631,969,86.63249555,92,7,48,Loamy,watermelon,Ammonium Sulphate
0.97,29.2,5.513697923,18.04185513,937,60.61494304,81,49,20,Clayey,maize,NPK
1.12,14.8,8.519975748,17.57212145,478,14.99927489,31,78,76,Clayey,chickpea,Ammonium Sulphate
1.44,11.3,6.420457311,22.79196751,588,90.60901895,16,7,8,Sandy,orange,DAP
2.32,7.5,7.954629324,25.03149561,801,82.21276599,125,39,21,Clayey,cotton,Potash
1,19,7.26158085,26.57421679,786,73.81994896,84,38,43,Sandy,jute,Ammonium Sulphate
1,19.5,6.141502001,28.2974764,389,95.41122824,35,30,34,Sandy,coconut,Urea
1.9,30.2,6.526654345,32.45465292,456,50.69693751,28,27,34,Clayey,mango,NPK
1.24,11.6,7.066087261,33.64769646,756,48.41490082,36,80,21,Clayey,pigeonpeas,Urea
0.72,16.4,7.070959995,24.52922681,843,80.54498576,97,50,41,Clayey,rice,Ammonium Sulphate
1.24,29.3,7.283736617,21.32376327,971,83.00320459,78,43,42,Clayey,rice,Potash
0.52,29.7,7.077170002,31.07508973,303,47.19847683,23,75,25,Clayey,pigeonpeas,Potash
0.61,16.5,6.443785385,22.45942937,312,81.30681027,121,45,22,Clayey,cotton,Urea
1.35,18.8,5.417340525,31.85744939,651,45.53106268,37,38,32,Clayey,mango,DAP
1.16,14.1,5.821106036,31.53356352,886,53.06009323,22,38,31,Loamy,mango,DAP
2.3,33,6.658402594,21.80523051,422,94.63612858,38,14,37,Sandy,pomegranate,Potash
1.03,8.6,5.824709117,21.44653958,693,84.94375962,73,57,41,Sandy,rice,Urea
1.54,33,6.413543781,19.54314136,280,47.19188279,16,55,19,Clayey,pigeonpeas,Urea
1.65,25.5,6.095261013,28.27804288,598,93.64761266,8,6,33,Sandy,coconut,Urea
0.23,20.9,7.272427638,24.84918386,419,68.98088448,10,70,19,Clayey,lentil,Ammonium Sulphate
1.73,6,7.947011366,23.54234715,182,75.98203329,133,57,19,Loamy,cotton,DAP
0.61,19.3,7.382762603,23.85724032,402,82.22572988,93,56,42,Sandy,rice,DAP
2.41,17.2,5.985792703,29.23540524,361,59.38967583,33,73,23,Sandy,pigeonpeas,Ammonium Sulphate
0.54,9.8,4.674941549,28.76794904,883,37.57792132,26,72,22,Loamy,pigeonpeas,NPK
1.15,24.7,5.758054257,28.22776705,299,80.6430384,101,92,45,Loamy,banana,Ammonium Sulphate
0.4,34.1,4.674941549,28.76794904,339,37.57792132,26,72,22,Loamy,pigeonpeas,Urea
2.49,21.9,6.293486295,29.17220859,791,92.21405224,117,24,53,Sandy,muskmelon,Ammonium Sulphate
1.36,26.4,6.128167757,28.07802689,782,54.9640534,8,37,33,Sandy,mango,Urea
1.57,7.1,5.254532213,35.38598705,394,51.42664176,21,31,32,Loamy,mango,Potash
0.35,17.5,7.156563094,29.53037621,611,86.73346018,28,35,22,Loamy,mungbean,Urea
1.92,8.5,8.18422855,30.58139475,788,50.77148138,22,36,16,Loamy,mothbeans,DAP
0.68,23.4,6.665024508,41.41968393,980,90.03863107,34,65,48,Loamy,papaya,Ammonium Sulphate
2.27,33.2,7.137136973,20.48954522,495,93.72485075,19,24,15,Loamy,orange,Urea
0.67,24.9,7.549873681,26.46428311,848,83.85642678,78,40,38,Clayey,rice,NPK
0.64,7.3,6.286500176,26.35927159,237,84.04403589,97,59,43,Loamy,rice,Potash
0.28,15.6,5.934136378,23.44260668,938,22.77255917,20,69,15,Clayey,kidneybeans,NPK
1.29,21.5,7.817846496,21.21306973,977,91.35349216,10,5,5,Sandy,orange,NPK
1.5,17.1,6.576415562,18.19737048,922,14.71070537,27,62,77,Sandy,chickpea,NPK
0.35,30,4.803564468,19.54317155,228,56.92831399,1,66,23,Clayey,pigeonpeas,Potash
1.98,29.4,6.289614016,19.12829388,148,14.92241479,27,76,83,Loamy,chickpea,Potash
1.24,23.4,5.838508699,25.87682261,775,45.96341933,2,51,17,Sandy,mothbeans,Potash
1.41,16.2,6.576415562,18.19737048,888,14.71070537,27,62,77,Loamy,chickpea,Potash
1.21,12.7,6.012719118,28.43430726,392,52.10010827,1,76,17,Loamy,pigeonpeas,NPK
1.12,8.2,6.78006386,26.77463708,727,66.4132686,107,34,32,Clayey,coffee,DAP
1.49,15.6,4.697750704,27.32198928,635,34.13737127,40,62,19,Sandy,pigeonpeas,DAP
0.56,17.4,5.023115055,24.80710166,410,45.01110015,5,56,24,Sandy,pigeonpeas,Potash
0.62,25.3,6.441328044,27.3511056,636,54.43945147,5,19,25,Clayey,mango,Ammonium Sulphate
2.18,24.7,5.625096446,18.09551014,738,18.29318436,19,65,25,Loamy,kidneybeans,Urea
2.38,7.1,5.979973965,15.77370214,333,19.2303162,21,63,17,Loamy,kidneybeans,Ammonium Sulphate
1.06,16.9,6.898905799,26.7230014,308,62.96841833,35,74,22,Sandy,lentil,Ammonium Sulphate
0.82,10.5,6.248900919,27.73329078,704,81.13903037,25,40,21,Clayey,mungbean,Ammonium Sulphate
1.68,9.7,6.959404135,23.17714381,193,52.13864034,84,39,35,Clayey,coffee,DAP
1.14,29.8,7.505283615,21.53577883,426,65.47227704,2,79,15,Loamy,lentil,Urea
0.26,6.3,6.123796057,27.54823036,324,62.88179198,118,31,34,Loamy,coffee,Ammonium Sulphate
0.56,17.6,6.097869767,32.13409675,989,50.52559148,28,37,28,Clayey,mango,Potash
1.85,10,6.098369122,25.14517635,891,81.38204104,105,74,45,Sandy,banana,DAP
1.72,31.4,6.323933647,28.1279509,110,77.48247073,99,92,47,Loamy,banana,Potash
0.26,21.7,5.818219385,30.573999,428,58.22686794,24,37,21,Clayey,mothbeans,Potash
0.71,11.9,6.112305667,29.99677232,111,81.54156612,24,130,195,Clayey,grapes,Ammonium Sulphate
0.73,20.1,6.829199275,18.28362235,134,66.65952796,74,56,22,Clayey,maize,Potash
1.75,26.9,6.586107335,35.67667332,546,93.30641944,54,67,52,Sandy,papaya,Urea
0.25,33.7,5.775600435,36.73126647,551,80.58931938,39,145,201,Loamy,grapes,Potash
0.44,11.6,7.224285503,26.31355498,839,82.36698992,85,52,45,Loamy,rice,Ammonium Sulphate
2.04,31.6,7.811997977,18.8392908,319,14.74071856,22,60,85,Loamy,chickpea,Potash
0.61,33,5.907930899,25.31468463,540,77.91757121,102,37,25,Sandy,cotton,DAP
1.7,32.5,6.36137446,22.77035608,752,91.45498527,6,30,40,Loamy,pomegranate,DAP
0.75,24.1,6.323722572,17.5438296,634,82.94703302,38,120,197,Loamy,grapes,DAP
0.43,23.9,6.436691764,24.16402322,694,76.7433897,132,52,19,Loamy,cotton,NPK
0.76,17.1,5.609435128,16.51783455,328,20.4555596,23,62,19,Loamy,kidneybeans,DAP
1.86,27.6,5.614471478,25.29391516,443,79.29122198,117,82,45,Sandy,banana,DAP
2.17,20.9,7.175170657,24.2248758,179,74.89465426,62,59,41,Clayey,jute,NPK
2.11,25.3,6.119432215,22.36238282,452,91.15761594,12,129,205,Clayey,apple,DAP
1.11,17.9,8.183844843,28.99319096,495,62.85948245,12,39,21,Loamy,mothbeans,Ammonium Sulphate
1.74,26.9,7.098227926,24.25133493,389,89.86454053,90,59,35,Loamy,jute,DAP
0.67,29.7,5.946999529,22.64236876,554,21.59396123,33,59,22,Loamy,kidneybeans,DAP
0.87,9.4,7.299360767,28.67408774,942,63.18832976,3,69,23,Sandy,lentil,NPK
2.26,30,8.292875734,28.61409059,770,57.14218792,36,57,16,Loamy,mothbeans,Ammonium Sulphate
0.23,21.2,6.136286518,26.05968403,227,52.31098539,111,29,31,Sandy,coffee,Potash
0.4,30.3,6.985804083,38.38231475,801,93.10378595,52,51,53,Loamy,papaya,Urea
0.68,17.9,6.428054409,28.22471276,642,82.35916228,24,42,23,Loamy,mungbean,Ammonium Sulphate
0.26,16.4,6.831706773,29.14305008,997,49.40983294,11,34,32,Clayey,mango,Potash
0.62,32.5,5.809419584,19.62207826,458,18.67170854,28,80,17,Loamy,kidneybeans,Ammonium Sulphate
1.54,12.5,6.456148474,20.93175255,626,18.91295403,37,66,85,Sandy,chickpea,Potash
1.17,30.3,6.605733068,27.62749466,412,86.49366929,22,37,20,Clayey,mungbean,Potash
2.25,19.5,5.505393833,29.44795403,174,78.34971537,111,88,55,Sandy,banana,Ammonium Sulphate
2.08,20.4,7.342409555,23.6734328,645,47.2879691,19,57,23,Clayey,pigeonpeas,NPK
0.99,14.3,7.140437859,28.36319404,970,84.8593608,36,43,21,Sandy,mungbean,Ammonium Sulphate
0.8,22.2,6.842744374,29.37735586,295,44.82294584,11,72,22,Clayey,pigeonpeas,Ammonium Sulphate
1.07,14.8,6.981758362,27.10818093,942,87.4512669,35,48,15,Sandy,mungbean,Potash
1.56,6.2,6.566759102,28.96586565,128,90.71832938,86,18,45,Sandy,muskmelon,Urea
0.82,13.2,6.99223441,39.01793345,805,91.48815629,57,57,51,Loamy,papaya,Potash
1.64,5.2,6.890784045,19.67832052,115,89.08935702,16,15,42,Clayey,pomegranate,DAP
1.14,34.4,6.28236237,29.1400919,522,80.1190228,104,73,46,Clayey,banana,Ammonium Sulphate
1.47,34,5.73171945,30.90225239,688,49.95955487,2,36,31,Loamy,mango,Ammonium Sulphate
1.2,16.9,5.901100841,28.9470467,904,82.1888998,82,77,46,Sandy,banana,NPK
0.88,26.9,6.581313137,25.19857725,692,60.37332688,41,78,21,Sandy,blackgram,Potash
2.38,15.4,7.114405288,18.99424448,504,15.9362937,42,67,77,Clayey,chickpea,NPK
1.96,25.1,6.025028997,25.75734909,735,88.36668522,74,46,45,Sandy,jute,Ammonium Sulphate
0.52,29.2,6.234904253,38.06099482,630,82.24729637,30,120,200,Clayey,grapes,Potash
2.2,33.4,5.73171945,30.90225239,713,49.95955487,2,36,31,Clayey,mango,Potash
1.32,17,6.960358276,25.70196694,176,61.33450447,96,54,22,Sandy,maize,DAP
2.26,28.5,6.107741788,19.6491772,328,80.15215777,35,125,204,Sandy,grapes,DAP
2.04,13,5.620733794,28.74013335,396,93.39676499,17,11,32,Sandy,coconut,Urea
1.18,34.7,7.57125447,22.45616931,609,91.52781832,12,29,13,Loamy,orange,DAP
0.25,5.8,6.779230041,27.09617155,814,63.55324262,113,15,29,Clayey,coffee,Potash
0.82,23.1,6.4740245,19.48974337,672,17.17260319,22,64,82,Sandy,chickpea,DAP
1.45,24.8,7.238109556,24.71384065,637,51.29142534,98,27,27,Loamy,coffee,Urea
1.66,25.6,6.052026047,27.32961444,682,49.30347234,1,29,29,Sandy,mango,Ammonium Sulphate
0.79,8.6,6.747975732,40.76998685,714,92.09278584,50,59,47,Clayey,papaya,DAP
0.52,33.2,5.680361038,23.02038334,425,61.89472002,64,35,23,Loamy,maize,Potash
2.12,10.4,7.296972161,31.77681682,462,69.01852894,53,67,17,Clayey,blackgram,Ammonium Sulphate
2.46,23.7,7.120272972,25.65553461,768,83.47021081,74,54,38,Sandy,rice,Potash
1.41,11.7,5.860740481,25.84726298,974,90.92669463,34,6,27,Sandy,coconut,Ammonium Sulphate
0.59,14.2,6.813383387,25.65492304,458,92.74501561,68,69,52,Sandy,papaya,Potash
0.83,21.4,6.074190142,23.60567546,805,59.68849145,97,22,26,Loamy,coffee,DAP
0.24,17.5,6.758792552,26.2724184,886,52.12739421,117,32,34,Loamy,coffee,DAP
2.3,9.8,6.556372966,28.02952623,423,84.8845732,38,36,21,Loamy,mungbean,Urea
0.47,10.1,5.863996687,34.38922481,797,83.18392806,39,129,203,Loamy,grapes,Ammonium Sulphate
1.53,17.5,6.391173589,18.86805647,425,15.65809214,22,72,85,Sandy,chickpea,Urea
0.83,27.7,5.855119268,34.73823882,724,49.08864345,38,19,31,Sandy,mango,NPK
1.47,31.9,5.699586972,27.00315545,924,47.67525434,21,26,27,Sandy,mango,DAP
1.7,7.5,6.310699968,26.58361011,264,78.00774772,73,43,42,Loamy,jute,Ammonium Sulphate
2.11,16.8,7.286049978,28.75273118,672,69.15640149,8,58,17,Loamy,lentil,Urea
0.67,8,6.056529526,21.72484506,703,92.83975602,14,139,197,Sandy,apple,Urea
0.23,5.5,6.551130445,24.39459498,897,89.89106506,76,56,39,Sandy,jute,NPK
0.51,24.9,4.567446499,20.04611791,554,48.93905624,33,61,24,Loamy,pigeonpeas,Urea
2.27,23.1,6.715276663,29.16174608,252,80.28038146,6,47,18,Clayey,mungbean,Potash
2.21,9.9,5.935344406,25.48591986,836,81.40633547,84,50,44,Sandy,rice,DAP
1.57,12,5.669236258,19.18572809,226,20.83398341,40,78,20,Sandy,kidneybeans,Urea
1.58,5.7,6.383180271,23.1094265,292,92.79630809,13,126,204,Sandy,apple,Urea
1.73,30,6.276198595,21.19852186,726,92.15595143,10,136,204,Loamy,apple,NPK
0.6,34.2,6.082973754,18.87751445,873,65.76816093,92,44,16,Sandy,maize,Potash
2.3,9.1,6.012632591,21.94766735,629,80.97384195,67,59,41,Sandy,rice,Urea
1.16,11.9,6.408437886,19.41789736,109,16.80472243,30,75,81,Sandy,chickpea,DAP
1.08,31.1,5.647202395,12.14190714,191,83.56812483,11,122,195,Sandy,grapes,DAP
1.39,32.8,5.66999105,23.50201428,238,92.21083961,20,139,202,Sandy,apple,Urea
0.31,17.6,5.733539807,27.92004934,580,82.93262435,6,125,204,Clayey,grapes,Potash
0.58,6.5,5.108681786,26.80079604,548,80.88684822,78,58,44,Clayey,rice,DAP
1.9,6.2,5.67130617,21.19909519,432,90.80819418,35,138,200,Sandy,apple,DAP
0.39,22.2,6.660954816,29.19378695,968,91.46241065,99,29,55,Sandy,muskmelon,Potash
1.59,16.8,5.515615023,18.23775702,439,21.07643273,22,70,19,Sandy,kidneybeans,Potash
0.76,5.9,6.410441476,22.17499963,151,62.13873825,29,71,18,Sandy,lentil,Urea
1.1,22.5,6.233269045,22.6371424,806,65.44544859,24,61,17,Loamy,lentil,Ammonium Sulphate
0.86,5.3,6.099662369,28.20480805,565,92.91440379,102,25,50,Loamy,muskmelon,NPK
1.02,28.6,5.682343744,22.78234161,817,94.36803516,2,129,201,Loamy,apple,Ammonium Sulphate
1.85,14.2,6.636803223,24.60532218,898,73.58868502,73,45,21,Clayey,maize,Ammonium Sulphate
0.88,6.2,6.92009048,27.16159076,574,66.76017239,21,78,19,Sandy,blackgram,DAP
1.5,22.7,7.299304715,25.21622704,500,70.88259632,67,43,38,Loamy,jute,Potash
1.29,16.9,6.190015912,25.7131428,538,80.22972777,104,17,46,Sandy,watermelon,DAP
1.73,34.2,6.550814117,28.04799508,977,90.00621688,18,14,11,Sandy,orange,NPK
2.35,21.3,5.86442953,17.06104474,704,23.77201471,36,68,20,Clayey,kidneybeans,Urea
1.88,13.3,6.026287448,23.35723208,920,55.18792166,92,40,30,Clayey,coffee,NPK
0.69,26.3,5.664587011,28.93270187,756,47.94053996,4,20,25,Loamy,mango,DAP
