Electrical_Conductivity_dS_m,Moisture_percent,pH,Temperature_C,Salinity_ppm,Humidity_percent,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Soil_Type,Crop_Type,Fertilizer
2.59,19.45,7.89,25.15,1251.33,52.91,131.2,80.84,50.49,Clayey,Cotton,DAP (Di-Ammonium Phosphate)
2.32,19.26,8.02,20.09,80.23,34.05,14.2,24.39,207.31,Clayey,Wheat,DAP (Di-Ammonium Phosphate)
1.45,26.7,5.07,26.1,47.0,63.64,125.18,67.8,73.56,Loamy,Peanut,Superphosphate
3.02,41.97,4.88,31.3,1938.66,58.81,142.9,90.09,312.79,Sandy,Potato,Calcium Nitrate
2.02,45.01,5.24,30.22,1319.46,72.35,93.88,23.15,406.33,Clayey,Rice,DAP (Di-Ammonium Phosphate)
3.27,29.62,4.79,25.2,791.29,73.34,51.21,13.87,228.41,Sandy,Tomato,Urea
3.25,11.72,5.75,24.3,20.18,88.47,115.21,64.85,276.22,Clayey,Tomato,Ammonium Sulphate
0.38,41.67,5.05,12.27,1823.51,32.43,35.02,57.84,468.36,Sandy,Peanut,Compost
1.45,31.07,8.27,21.91,851.52,69.62,120.08,57.63,405.36,Loamy,Cotton,Bone Meal
1.49,40.43,4.63,26.96,474.3,51.69,29.69,96.8,355.75,Sandy,Peanut,Superphosphate
3.09,41.83,8.01,23.43,549.15,51.24,102.68,31.99,472.5,Sandy,Rice,Bone Meal
1.15,18.12,4.43,23.13,823.79,80.07,124.94,88.65,426.35,Loamy,Wheat,Calcium Nitrate
2.59,19.45,7.89,25.15,1251.33,52.91,131.2,80.84,50.49,Clayey,Cotton,DAP (Di-Ammonium Phosphate)
2.76,37.89,4.58,39.81,376.79,54.52,43.58,76.25,496.93,Sandy,Potato,Ammonium Sulphate
2.46,7.26,5.73,17.88,1337.8,59.39,63.21,20.25,307.38,Clayey,Tomato,DAP (Di-Ammonium Phosphate)
1.41,26.48,7.55,20.59,1025.37,41.54,20.39,94.72,233.73,Loamy,Rice,DAP (Di-Ammonium Phosphate)
3.86,38.97,6.59,17.83,385.49,33.78,105.37,71.04,126.87,Clayey,Rice,Compost
1.97,34.93,7.35,27.01,1770.88,86.68,137.26,65.84,212.35,Loamy,Potato,Ammonium Sulphate
2.5,26.69,5.21,25.86,126.64,47.44,72.0,66.62,251.86,Clayey,Cotton,Calcium Nitrate
3.92,39.73,4.06,15.89,207.56,51.54,78.58,24.97,232.74,Sandy,Wheat,Bone Meal
3.5,48.09,5.57,37.04,1829.76,45.16,23.72,51.23,467.79,Clayey,Soybean,"NPK (Nitrogen, Phosphorus, Potassium)"
2.86,7.33,5.27,27.39,1958.5,42.19,30.95,19.87,84.79,Clayey,Cotton,Bone Meal
2.82,24.46,6.65,19.02,1148.32,49.33,36.61,76.38,436.17,Sandy,Sugarcane,Bone Meal
3.13,43.14,5.29,36.31,1192.82,52.87,21.9,93.03,347.22,Sandy,Maize,Compost
2.33,5.47,5.3,15.93,1299.58,62.84,47.53,31.57,437.0,Sandy,Cotton,Ammonium Sulphate
1.11,10.65,5.17,10.72,1495.55,30.57,109.64,82.87,499.75,Clayey,Tomato,Calcium Nitrate
0.44,35.58,4.35,24.79,343.03,83.32,139.74,27.09,464.39,Sandy,Soybean,Calcium Nitrate
3.65,24.88,6.9,20.99,1691.96,45.26,14.25,13.95,182.85,Clayey,Maize,Superphosphate
2.17,12.19,8.28,25.19,483.09,34.75,102.5,94.45,293.72,Sandy,Peanut,Calcium Nitrate
3.82,40.19,4.41,15.47,401.95,43.62,42.26,71.31,405.38,Clayey,Wheat,Compost
1.93,36.09,6.03,36.14,937.16,31.31,100.9,65.38,227.8,Clayey,Rice,Bone Meal
0.56,21.58,7.0,10.36,625.89,83.33,13.47,21.05,153.96,Clayey,Maize,Compost
1.9,44.77,8.11,30.84,1837.96,55.64,81.81,79.01,348.81,Sandy,Soybean,Ammonium Sulphate
2.74,9.25,7.87,37.74,764.07,83.65,103.99,20.12,320.28,Loamy,Maize,Urea
2.48,45.29,6.56,20.65,56.53,72.61,109.61,42.38,370.74,Sandy,Peanut,DAP (Di-Ammonium Phosphate)
3.83,6.2,6.2,20.57,1762.5,34.71,14.19,77.18,424.9,Sandy,Maize,Compost
3.97,14.31,8.2,28.78,844.01,78.32,27.58,99.63,401.69,Sandy,Potato,Ammonium Nitrate
1.42,11.49,5.68,38.43,1578.76,65.47,44.87,26.19,346.18,Clayey,Maize,"NPK (Nitrogen, Phosphorus, Potassium)"
0.4,5.73,7.69,10.43,1990.11,58.61,94.6,34.23,114.58,Loamy,Wheat,Calcium Nitrate
0.25,23.69,5.52,30.93,155.33,88.02,46.21,99.39,237.44,Loamy,Peanut,Potash
2.2,43.97,7.92,37.66,855.39,36.58,107.69,73.89,481.88,Clayey,Maize,Urea
1.56,11.28,7.03,10.33,17.11,75.22,54.68,78.12,493.51,Sandy,Tomato,Urea
0.17,19.68,4.08,29.83,554.32,67.32,39.9,60.68,195.46,Clayey,Cotton,DAP (Di-Ammonium Phosphate)
2.71,29.19,7.76,38.55,89.82,69.55,87.44,20.19,131.2,Sandy,Peanut,Bone Meal
1.42,6.22,8.14,16.42,1409.67,75.19,16.77,31.48,261.4,Loamy,Potato,Calcium Nitrate
2.94,18.16,8.18,22.05,307.95,50.01,118.08,8.2,201.6,Sandy,Rice,Ammonium Sulphate
2.71,32.45,4.39,15.0,751.77,55.96,40.13,72.5,288.21,Sandy,Rice,Compost
0.82,30.74,4.19,21.21,1948.64,30.26,61.05,77.64,91.57,Sandy,Soybean,Calcium Nitrate
3.62,37.29,6.97,36.13,531.36,76.92,133.69,38.02,110.24,Clayey,Soybean,Calcium Nitrate
3.24,14.84,7.8,31.31,1917.49,38.63,11.87,29.49,251.2,Loamy,Maize,"NPK (Nitrogen, Phosphorus, Potassium)"
1.26,19.59,5.83,38.09,807.47,46.07,29.18,33.87,157.15,Loamy,Wheat,Ammonium Sulphate
2.56,24.98,5.89,25.39,774.67,81.09,39.28,26.34,71.66,Clayey,Potato,Ammonium Nitrate
0.17,31.79,5.69,15.75,793.22,67.46,107.97,84.81,220.97,Loamy,Potato,Potash
0.56,41.72,7.6,33.15,1620.8,30.6,148.6,48.78,222.7,Loamy,Soybean,Potash
3.87,16.25,8.98,15.53,1892.0,81.09,104.31,12.19,376.66,Sandy,Soybean,"NPK (Nitrogen, Phosphorus, Potassium)"
1.32,13.66,4.81,14.19,985.5,36.53,73.42,82.02,309.39,Sandy,Maize,DAP (Di-Ammonium Phosphate)
3.23,33.35,5.49,17.07,1854.53,38.96,28.29,8.35,441.78,Sandy,Rice,Calcium Nitrate
3.43,33.21,6.21,16.5,400.53,78.45,96.12,69.88,155.72,Sandy,Peanut,Urea
0.22,9.17,5.76,27.29,813.73,57.95,16.08,70.24,326.21,Loamy,Sugarcane,Bone Meal
0.9,34.78,4.1,35.89,668.43,43.84,60.81,75.54,199.4,Clayey,Wheat,Compost
0.14,7.64,7.11,34.87,470.65,57.83,97.17,50.84,175.68,Sandy,Potato,Compost
1.43,12.4,8.41,39.58,598.13,63.05,106.6,43.41,208.65,Sandy,Wheat,Potash
2.43,23.08,7.02,16.7,1941.58,68.62,92.56,66.65,128.82,Sandy,Maize,Ammonium Nitrate
1.24,27.65,4.48,25.73,937.47,63.0,103.39,75.24,174.59,Sandy,Maize,Urea
1.77,43.34,5.17,35.54,559.98,78.49,101.91,89.98,408.07,Loamy,Cotton,Ammonium Nitrate
3.07,23.55,5.42,18.0,1451.52,62.55,149.22,79.6,92.79,Sandy,Tomato,Potash
2.7,7.57,8.04,21.43,369.07,57.47,61.73,39.82,478.42,Sandy,Cotton,DAP (Di-Ammonium Phosphate)
0.34,36.8,6.24,30.27,1823.48,77.82,9.77,55.03,428.43,Sandy,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
1.79,12.04,8.12,32.85,1323.84,30.2,116.3,60.65,248.08,Loamy,Cotton,Calcium Nitrate
1.29,37.97,4.66,13.11,145.36,60.69,81.24,64.54,132.47,Clayey,Soybean,Calcium Nitrate
0.32,29.52,4.59,10.53,1088.51,49.27,78.78,82.72,103.64,Clayey,Maize,Ammonium Sulphate
1.23,48.27,7.31,16.93,301.59,81.14,129.98,54.14,350.46,Loamy,Rice,Potash
1.49,27.35,5.71,19.29,1044.19,43.79,35.4,81.52,374.86,Loamy,Soybean,DAP (Di-Ammonium Phosphate)
1.45,47.62,6.6,35.41,1537.47,30.55,26.73,27.76,304.54,Loamy,Wheat,DAP (Di-Ammonium Phosphate)
0.14,7.64,7.11,34.87,470.65,57.83,97.17,50.84,175.68,Sandy,Potato,Compost
3.08,48.91,8.19,17.3,1588.7,59.48,60.19,49.93,217.98,Loamy,Cotton,Superphosphate
3.94,14.46,6.6,11.13,576.44,37.67,127.26,40.95,243.3,Sandy,Sugarcane,Compost
2.21,10.68,7.52,38.26,1410.38,87.51,30.21,42.36,157.36,Loamy,Soybean,Compost
2.36,35.34,4.75,10.17,914.6,89.21,50.21,11.0,252.9,Clayey,Peanut,Ammonium Nitrate
0.79,26.4,4.61,18.82,910.02,49.39,132.91,49.18,441.31,Clayey,Tomato,Potash
3.81,28.85,5.73,21.92,732.91,74.7,61.07,78.99,336.78,Loamy,Potato,Ammonium Sulphate
2.52,31.88,4.89,19.74,492.92,74.06,89.05,11.47,155.38,Sandy,Peanut,Urea
3.16,38.72,4.19,35.59,701.44,84.7,77.81,33.88,383.91,Loamy,Sugarcane,Ammonium Sulphate
0.54,7.37,5.58,26.01,1193.33,44.08,123.25,25.9,452.3,Loamy,Rice,DAP (Di-Ammonium Phosphate)
2.9,23.73,4.61,13.16,1941.46,46.03,123.13,26.04,329.33,Clayey,Wheat,Bone Meal
0.84,8.46,5.64,24.44,415.78,47.48,118.5,90.13,159.68,Loamy,Tomato,Superphosphate
2.41,25.16,5.87,29.05,1372.47,59.47,141.27,69.93,342.52,Loamy,Tomato,DAP (Di-Ammonium Phosphate)
2.69,42.57,6.37,30.18,1698.84,36.95,23.8,86.39,476.7,Clayey,Maize,Superphosphate
3.99,33.98,6.59,30.82,1726.05,85.66,135.81,78.2,472.65,Sandy,Wheat,Ammonium Sulphate
3.02,12.01,8.38,17.66,1985.81,80.31,145.85,67.49,113.61,Loamy,Rice,Compost
0.41,17.47,8.83,39.29,611.52,67.72,124.62,46.09,419.18,Sandy,Cotton,Ammonium Nitrate
0.72,13.65,6.86,31.12,1902.18,85.31,63.87,44.49,172.75,Sandy,Wheat,Ammonium Sulphate
1.26,30.77,8.14,39.59,1064.47,46.72,53.46,18.46,274.63,Clayey,Potato,Potash
3.78,14.01,4.09,33.3,228.1,76.24,58.2,71.67,101.45,Sandy,Rice,DAP (Di-Ammonium Phosphate)
0.33,39.41,6.83,18.72,596.39,78.89,81.1,94.35,295.84,Loamy,Wheat,Calcium Nitrate
3.98,19.44,8.77,11.13,423.04,85.62,20.33,12.59,452.52,Sandy,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
3.46,34.62,6.89,37.32,1169.87,82.47,18.53,49.69,147.87,Sandy,Wheat,Ammonium Sulphate
2.02,38.37,5.85,11.53,775.69,77.68,24.61,59.44,92.07,Sandy,Wheat,DAP (Di-Ammonium Phosphate)
3.49,35.4,8.1,26.38,469.86,60.06,104.1,82.66,368.12,Sandy,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
2.94,45.85,6.96,36.33,863.3,80.55,108.81,26.37,470.05,Loamy,Potato,Urea
2.02,11.6,5.11,19.87,1908.46,72.15,125.38,10.45,259.39,Sandy,Tomato,Calcium Nitrate
2.03,6.75,5.31,22.05,931.93,72.56,104.55,62.71,404.09,Clayey,Maize,Bone Meal
0.75,11.46,4.79,36.22,1942.44,44.17,77.17,76.34,417.56,Sandy,Soybean,Superphosphate
0.89,42.54,6.93,11.2,840.27,87.74,110.53,49.13,286.44,Sandy,Wheat,Calcium Nitrate
3.9,16.2,6.65,38.63,1699.04,67.58,42.78,19.76,166.83,Loamy,Tomato,Urea
1.91,42.69,5.07,21.45,1944.31,36.18,39.98,95.16,62.56,Loamy,Maize,Ammonium Sulphate
0.61,24.37,4.44,20.93,1448.02,81.55,61.97,75.18,165.91,Loamy,Peanut,Compost
1.06,35.77,5.97,18.54,26.89,63.61,113.41,12.5,190.88,Loamy,Rice,Superphosphate
1.86,27.98,7.75,25.74,1996.61,46.3,99.61,10.8,366.84,Clayey,Wheat,Urea
1.43,45.54,8.95,21.34,1654.96,85.22,21.64,84.12,172.17,Loamy,Potato,Calcium Nitrate
3.88,30.82,8.94,17.63,1466.41,61.59,135.74,21.64,228.35,Sandy,Wheat,Potash
0.86,22.6,5.89,32.03,946.19,36.21,20.18,73.91,226.13,Loamy,Wheat,Urea
0.12,30.66,6.48,17.34,187.45,55.91,149.51,8.5,361.78,Loamy,Wheat,"NPK (Nitrogen, Phosphorus, Potassium)"
2.52,13.31,8.18,17.28,746.63,69.9,37.43,84.75,140.29,Sandy,Cotton,"NPK (Nitrogen, Phosphorus, Potassium)"
2.32,18.5,8.53,16.44,1091.41,40.86,119.22,97.92,441.77,Loamy,Tomato,Urea
0.42,39.62,5.15,31.17,1178.08,65.09,83.46,49.17,433.07,Loamy,Soybean,Calcium Nitrate
2.14,13.64,4.2,37.73,1253.71,42.92,107.86,71.94,162.88,Sandy,Soybean,DAP (Di-Ammonium Phosphate)
3.24,40.82,6.51,31.67,311.35,90.0,59.68,6.5,202.03,Clayey,Peanut,Bone Meal
0.53,13.18,7.67,35.22,936.82,70.9,108.32,24.47,87.54,Clayey,Wheat,Calcium Nitrate
0.83,48.98,5.0,30.78,226.44,77.47,134.04,74.32,246.18,Clayey,Tomato,Ammonium Nitrate
1.2,28.31,8.09,10.44,1150.95,39.99,69.79,73.85,316.62,Loamy,Cotton,Potash
2.09,36.84,7.44,21.45,462.3,62.71,99.56,25.09,351.27,Loamy,Cotton,Compost
3.51,32.23,7.8,12.17,1449.26,88.98,127.39,15.16,81.02,Sandy,Sugarcane,Superphosphate
0.98,30.63,6.09,23.14,1187.35,31.39,91.84,31.38,56.23,Loamy,Potato,Bone Meal
2.81,34.19,5.6,21.53,335.79,52.89,76.7,94.3,189.89,Loamy,Peanut,Calcium Nitrate
0.73,15.89,5.88,25.83,1445.52,74.65,17.36,6.48,162.04,Clayey,Rice,"NPK (Nitrogen, Phosphorus, Potassium)"
2.35,42.98,4.42,31.01,1125.4,74.83,66.13,46.17,279.4,Loamy,Soybean,Ammonium Sulphate
3.5,47.72,7.07,33.95,469.9,73.77,63.13,37.2,392.79,Loamy,Soybean,Ammonium Sulphate
2.72,15.11,4.67,35.59,1825.79,39.41,28.63,26.14,218.44,Sandy,Wheat,Ammonium Nitrate
0.15,32.15,8.06,33.08,1904.12,63.93,147.6,74.07,243.87,Loamy,Sugarcane,Ammonium Nitrate
0.92,15.58,5.69,30.34,1717.82,74.57,140.89,57.99,240.33,Clayey,Soybean,Compost
1.38,25.98,8.47,13.96,1983.85,47.31,60.31,52.23,317.69,Loamy,Wheat,Potash
1.76,46.8,8.05,28.32,1578.15,68.3,68.37,26.0,299.16,Loamy,Potato,"NPK (Nitrogen, Phosphorus, Potassium)"
1.6,38.69,6.34,20.62,69.96,69.71,135.93,79.8,205.71,Sandy,Wheat,Potash
0.9,42.1,8.48,13.01,213.85,53.86,101.75,74.82,230.56,Loamy,Sugarcane,DAP (Di-Ammonium Phosphate)
2.21,21.95,5.06,36.06,846.03,61.39,91.75,24.43,388.89,Loamy,Rice,Compost
2.81,19.96,4.24,20.87,606.96,51.15,46.78,19.55,209.41,Loamy,Tomato,Bone Meal
1.13,23.5,6.31,12.73,970.75,68.67,123.22,80.79,125.08,Clayey,Tomato,Compost
3.81,15.75,5.95,12.8,733.74,87.87,15.92,31.82,263.41,Sandy,Cotton,Superphosphate
3.02,15.16,7.92,30.16,30.83,47.67,48.6,21.82,285.21,Sandy,Peanut,DAP (Di-Ammonium Phosphate)
2.04,41.65,6.87,36.17,1921.83,86.25,46.53,90.51,240.42,Sandy,Soybean,DAP (Di-Ammonium Phosphate)
3.21,18.96,6.8,35.56,69.48,36.4,140.15,28.43,186.56,Loamy,Sugarcane,Compost
3.65,48.5,8.89,31.54,1711.26,65.67,60.33,14.22,353.07,Clayey,Sugarcane,Bone Meal
2.49,42.27,7.3,24.44,569.78,89.61,8.28,96.04,224.65,Loamy,Sugarcane,Superphosphate
1.2,28.31,8.09,10.44,1150.95,39.99,69.79,73.85,316.62,Loamy,Cotton,Potash
2.71,19.26,6.24,25.34,1493.44,50.15,30.05,27.35,263.25,Loamy,Cotton,Superphosphate
2.37,23.03,6.22,12.52,372.83,73.16,23.14,77.45,319.33,Sandy,Soybean,Compost
0.15,35.4,4.64,26.73,497.8,41.59,12.61,85.73,471.17,Sandy,Wheat,Potash
3.78,17.23,6.4,21.2,1880.7,45.96,5.46,34.05,497.51,Sandy,Cotton,Bone Meal
3.32,39.22,8.72,22.47,339.04,66.67,96.79,45.75,125.06,Loamy,Cotton,Potash
0.81,42.56,4.38,23.87,169.35,34.25,120.83,36.5,181.15,Clayey,Wheat,Superphosphate
2.41,25.16,5.87,29.05,1372.47,59.47,141.27,69.93,342.52,Loamy,Tomato,DAP (Di-Ammonium Phosphate)
3.25,35.01,6.82,26.47,521.62,83.87,111.17,25.63,476.1,Loamy,Soybean,Ammonium Nitrate
3.33,28.34,6.12,19.25,1497.12,44.43,67.78,79.47,224.72,Clayey,Cotton,Ammonium Sulphate
2.74,34.48,4.26,18.13,730.1,40.15,105.57,94.73,284.98,Loamy,Maize,Potash
1.03,33.59,5.79,34.12,621.69,50.96,111.47,71.53,53.81,Clayey,Peanut,Potash
2.12,5.82,8.87,29.0,199.53,57.96,141.22,88.3,324.58,Loamy,Soybean,Ammonium Sulphate
1.21,25.48,6.69,37.77,435.33,83.9,87.41,6.73,312.61,Sandy,Potato,Superphosphate
1.35,23.5,4.24,14.72,1309.86,74.87,75.99,90.58,391.28,Clayey,Tomato,Superphosphate
3.91,8.98,8.21,13.44,1115.41,57.52,30.85,73.94,480.89,Sandy,Soybean,Ammonium Nitrate
1.26,19.59,5.83,38.09,807.47,46.07,29.18,33.87,157.15,Loamy,Wheat,Ammonium Sulphate
1.86,26.34,6.01,29.88,1721.46,71.82,41.04,37.33,498.83,Sandy,Potato,Ammonium Nitrate
2.77,12.29,5.6,38.06,422.94,33.1,26.3,15.2,166.14,Clayey,Tomato,Ammonium Nitrate
0.23,12.45,8.2,25.38,1662.17,85.69,65.1,99.18,233.73,Clayey,Peanut,Urea
3.02,10.24,8.66,39.19,821.55,69.73,13.32,7.77,455.66,Sandy,Sugarcane,Urea
2.45,8.91,8.02,36.6,228.23,40.2,115.99,75.3,182.74,Sandy,Peanut,Calcium Nitrate
2.1,46.8,4.64,35.41,212.61,53.58,37.25,30.59,143.68,Loamy,Rice,Calcium Nitrate
0.55,35.2,8.35,31.14,1792.03,73.1,29.72,21.29,260.1,Loamy,Cotton,Superphosphate
3.75,27.03,6.72,34.77,918.88,54.15,66.27,19.07,144.44,Clayey,Cotton,Potash
0.35,46.36,4.84,36.19,1182.9,77.73,142.77,52.25,496.25,Loamy,Peanut,DAP (Di-Ammonium Phosphate)
1.46,22.09,4.49,38.36,1536.73,79.96,122.85,76.25,419.91,Sandy,Wheat,Superphosphate
1.72,21.91,7.78,22.52,410.19,31.26,108.13,10.83,243.92,Loamy,Tomato,Ammonium Sulphate
2.29,46.82,5.04,28.65,1626.69,57.44,101.46,27.04,379.43,Sandy,Cotton,Ammonium Sulphate
0.23,27.18,7.96,36.54,1523.35,38.17,133.2,61.63,371.32,Clayey,Soybean,Ammonium Nitrate
2.69,17.4,5.82,29.2,1254.65,41.83,10.86,48.46,266.25,Sandy,Wheat,"NPK (Nitrogen, Phosphorus, Potassium)"
1.43,15.98,6.5,14.42,76.31,72.24,111.83,47.98,262.84,Clayey,Peanut,Calcium Nitrate
0.76,20.17,6.0,33.12,1594.98,68.47,125.5,28.52,419.29,Loamy,Wheat,Ammonium Sulphate
1.54,35.61,5.23,26.47,904.19,55.69,36.1,71.26,70.21,Clayey,Tomato,Ammonium Sulphate
1.26,21.31,7.24,13.01,1344.45,43.64,76.55,73.85,288.74,Sandy,Tomato,DAP (Di-Ammonium Phosphate)
3.42,37.8,8.33,13.58,1875.63,55.89,44.98,24.96,259.01,Clayey,Tomato,Ammonium Sulphate
2.28,35.37,8.98,28.79,1563.44,44.28,86.06,74.23,214.01,Loamy,Potato,Calcium Nitrate
1.19,13.29,7.47,19.54,25.29,78.59,123.02,29.36,183.34,Clayey,Wheat,Ammonium Nitrate
3.96,19.54,4.44,38.47,1365.49,38.98,28.95,75.63,420.88,Clayey,Potato,Ammonium Nitrate
0.4,25.43,6.35,15.42,417.06,42.47,109.28,64.9,186.06,Loamy,Wheat,"NPK (Nitrogen, Phosphorus, Potassium)"
3.88,12.54,5.68,37.74,148.24,31.88,52.09,85.47,388.84,Loamy,Peanut,Bone Meal
0.38,40.24,4.82,20.46,1162.77,40.06,34.43,5.86,189.42,Clayey,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
0.67,36.75,4.25,14.04,276.06,87.26,67.72,70.2,124.82,Clayey,Soybean,Potash
3.31,25.93,8.58,28.27,1913.1,52.75,83.23,70.69,411.53,Sandy,Potato,Ammonium Sulphate
0.34,5.01,4.7,21.84,1908.31,78.87,106.56,83.52,112.53,Clayey,Soybean,Superphosphate
3.18,36.2,7.25,31.78,1946.76,83.37,92.92,12.55,465.08,Clayey,Maize,Superphosphate
0.62,8.57,4.39,10.22,228.5,41.75,149.5,85.03,156.68,Sandy,Soybean,Ammonium Sulphate
3.33,8.75,7.11,37.05,1654.3,50.09,53.33,47.3,344.87,Sandy,Tomato,Calcium Nitrate
2.24,32.88,4.78,33.32,1664.45,63.91,62.15,78.96,159.84,Sandy,Soybean,Potash
1.89,23.5,4.06,25.9,198.92,88.55,84.45,80.11,327.27,Loamy,Peanut,Ammonium Sulphate
0.28,8.4,8.23,16.6,247.76,44.18,64.96,85.39,361.89,Loamy,Cotton,Urea
0.71,41.2,7.24,29.46,16.61,75.44,105.76,77.16,91.69,Clayey,Potato,Calcium Nitrate
3.46,21.59,8.26,38.62,1671.57,86.29,141.99,22.68,364.34,Loamy,Maize,Urea
1.52,28.47,7.19,24.44,205.17,46.16,38.02,20.61,398.85,Clayey,Peanut,Superphosphate
3.26,41.04,5.55,26.81,1893.28,76.85,133.21,62.0,290.34,Sandy,Soybean,Urea
2.36,25.98,5.04,35.39,583.65,62.19,129.22,33.09,231.04,Clayey,Cotton,Compost
3.51,32.23,7.8,12.17,1449.26,88.98,127.39,15.16,81.02,Sandy,Sugarcane,Superphosphate
2.51,43.91,6.47,20.02,513.48,74.77,53.56,91.44,182.0,Sandy,Peanut,Ammonium Sulphate
3.72,6.79,5.92,29.53,927.1,32.23,28.14,68.09,368.12,Sandy,Rice,Ammonium Nitrate
2.6,10.78,4.35,14.55,670.58,77.26,93.36,91.86,130.73,Sandy,Sugarcane,DAP (Di-Ammonium Phosphate)
0.35,20.96,7.6,36.2,73.14,31.21,26.88,15.18,72.21,Clayey,Tomato,Ammonium Nitrate
0.61,32.77,8.74,17.03,371.8,75.88,29.68,32.63,408.84,Sandy,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
3.28,30.38,7.6,17.89,446.03,53.88,77.6,40.3,333.91,Loamy,Sugarcane,Urea
2.3,9.65,5.56,29.36,962.1,82.82,134.06,93.06,492.58,Sandy,Peanut,Compost
2.67,23.78,8.72,31.67,524.63,59.66,85.14,33.0,57.37,Clayey,Potato,Ammonium Nitrate
3.53,14.37,8.35,34.18,501.09,47.1,25.08,87.29,435.9,Clayey,Soybean,Ammonium Sulphate
3.56,37.22,4.65,24.26,176.56,46.73,6.08,24.07,268.98,Sandy,Peanut,DAP (Di-Ammonium Phosphate)
2.68,36.7,7.79,10.9,191.07,64.96,102.73,77.2,223.64,Clayey,Sugarcane,Bone Meal
1.11,30.79,8.26,15.06,1572.62,42.26,79.44,37.53,269.51,Sandy,Wheat,Bone Meal
2.18,43.4,4.26,32.53,1752.86,78.32,66.35,83.55,213.72,Clayey,Maize,Calcium Nitrate
3.54,17.69,6.65,23.18,63.07,46.54,56.82,66.17,179.12,Sandy,Sugarcane,"NPK (Nitrogen, Phosphorus, Potassium)"
1.98,7.79,8.57,17.59,882.72,54.71,64.04,9.12,483.19,Clayey,Maize,"NPK (Nitrogen, Phosphorus, Potassium)"
3.16,35.72,8.91,31.26,36.93,55.96,82.39,80.84,341.17,Clayey,Tomato,Potash
2.13,38.33,6.07,37.35,359.7,63.26,27.18,42.16,489.84,Sandy,Potato,DAP (Di-Ammonium Phosphate)
3.09,48.89,7.27,29.82,154.97,34.23,88.31,17.02,429.6,Clayey,Sugarcane,Superphosphate
2.07,13.85,8.7,27.56,1286.36,30.96,56.57,69.22,489.84,Sandy,Cotton,DAP (Di-Ammonium Phosphate)
1.0,23.28,7.66,37.8,515.14,40.12,107.91,97.28,422.47,Clayey,Tomato,DAP (Di-Ammonium Phosphate)
2.67,8.88,4.95,24.74,652.37,72.41,15.96,6.61,77.39,Loamy,Peanut,Compost
1.54,36.34,7.7,31.12,1854.53,87.28,19.05,38.47,154.85,Sandy,Soybean,Ammonium Nitrate
0.25,19.2,6.85,21.27,1241.75,53.8,142.48,96.06,407.09,Clayey,Cotton,Bone Meal
1.35,38.67,4.3,15.01,1997.4,85.94,13.03,32.67,411.37,Loamy,Wheat,Ammonium Nitrate
1.78,18.35,4.81,25.16,1097.44,57.55,118.95,89.58,344.06,Loamy,Cotton,Potash
1.67,7.51,6.52,12.76,1679.72,61.37,7.21,16.83,178.39,Sandy,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
1.3,20.75,5.05,18.61,670.1,71.74,69.29,73.9,147.89,Clayey,Cotton,DAP (Di-Ammonium Phosphate)
2.54,32.87,4.75,26.74,1679.25,81.79,79.01,45.77,57.96,Sandy,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
0.62,17.31,5.83,13.21,1365.93,85.12,21.12,16.67,136.6,Loamy,Rice,Compost
3.95,41.2,8.84,39.12,1015.72,58.07,52.71,90.94,247.77,Sandy,Rice,Superphosphate
2.83,45.39,7.31,23.59,1552.23,77.81,53.83,51.36,146.34,Sandy,Peanut,Urea
1.99,41.46,5.77,22.38,1116.55,63.27,112.0,76.18,436.95,Sandy,Maize,Urea
2.1,46.8,4.64,35.41,212.61,53.58,37.25,30.59,143.68,Loamy,Rice,Calcium Nitrate
1.73,46.86,5.15,23.81,1171.03,77.36,81.97,41.09,120.55,Clayey,Maize,Ammonium Sulphate
2.17,23.49,6.43,38.14,1834.61,63.84,82.53,95.31,321.42,Sandy,Soybean,Potash
1.02,17.92,7.32,38.75,712.84,75.79,22.21,57.02,83.45,Clayey,Tomato,Ammonium Sulphate
1.15,45.93,6.55,37.13,1358.14,44.83,108.8,17.49,160.62,Sandy,Wheat,Ammonium Sulphate
2.36,24.07,8.11,35.91,716.17,67.31,44.03,68.25,149.44,Loamy,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
3.68,43.87,7.45,32.73,392.28,57.8,145.57,99.89,349.24,Clayey,Maize,DAP (Di-Ammonium Phosphate)
1.47,5.73,4.6,24.31,1173.51,75.71,149.28,24.96,88.88,Clayey,Wheat,Ammonium Nitrate
0.6,35.5,6.57,36.74,1438.39,86.83,21.27,97.47,472.94,Clayey,Soybean,Ammonium Sulphate
1.81,38.92,5.19,19.35,1846.35,50.38,137.88,26.83,487.24,Loamy,Rice,DAP (Di-Ammonium Phosphate)
1.34,38.21,5.92,29.62,372.02,45.21,23.79,80.73,96.56,Clayey,Rice,Potash
